Starting test execution, please wait...
A total of 1 test files matched the specified pattern.
Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;53320298;2103709580;2157029878;2752158774
1;48397886;2157029878;2205427764;2731386030
2;48063964;2205427764;2253491728;2729994281
3;48208251;2253491728;2301699979;2732093741
4;48343809;2301699979;2350043788;2731705300
5;48298338;2350043788;2398342126;2731751321
6;48194091;2398342126;2446536217;2731116220
7;48228819;2446536217;2494765036;2732197746
8;48650144;2494765036;2543415180;2733235173
9;48661863;2543415180;2592077043;2729174272
10;48764035;2592077043;2640841078;2731185628
11;48946225;2640841078;2689787303;2727981916
12;48869626;2689787303;2738656929;2731401487
13;48853452;2738656929;2787510381;2729368744
14;48786679;2787510381;2836297060;2745432026
15;49169491;2836297060;2885466551;2731062810
16;49246028;2885466551;2934712579;2730026603
17;49432003;2934712579;2984144582;2730655246
18;49342525;2984144582;3033487107;2730779655
19;49318477;3033487107;3082805584;2731459649
20;49456478;3082823772;3132280250;2732387510
21;49238094;3132280250;3181518344;2732286931
22;49162777;3181518344;3230681121;2730795995
23;49207210;3230681121;3279888331;2731866978
24;49326717;3279888331;3329215048;2730414454
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000

