Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;85510;11827252314;11827337824;4043225
1;0;11827337824;11827337824;165079
2;0;11827352778;11827352778;117057
3;0;11827352778;11827352778;43386
4;0;11827352778;11827352778;38468
5;0;11827352778;11827352778;39515
6;0;11827352778;11827352778;40352
7;0;11827352778;11827352778;24811
8;0;11827352778;11827352778;30145
9;0;11827352778;11827352778;27973
10;0;11827352778;11827352778;25019
11;0;11827352778;11827352778;25748
12;0;11827369074;11827369074;29410
13;0;11827369074;11827369074;26001
14;0;11827369074;11827369074;24481
15;0;11827369074;11827369074;24458
16;0;11827369074;11827369074;33985
17;0;11827369074;11827369074;24811
18;0;11827369074;11827369074;25287
19;0;11827369074;11827369074;28108
20;0;11827369074;11827369074;25673
21;0;11827369074;11827369074;24652
22;0;11827369074;11827369074;24734
23;0;11827369074;11827369074;29566
24;0;11827369074;11827369074;38226
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000
Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;0;11828229058;11828229058;106205
1;0;11828229058;11828229058;26018
2;0;11828229058;11828229058;36371
3;0;11828229058;11828229058;36282
4;0;11828229058;11828229058;35734
5;0;11828229058;11828229058;35288
6;0;11828229058;11828229058;34479
7;0;11828229058;11828229058;21052
8;0;11828229058;11828229058;21707
9;0;11828229058;11828229058;21351
10;0;11828229058;11828229058;21578
11;24353;11828229058;11828253411;22011
12;0;11828253411;11828253411;21390
13;0;11828253411;11828253411;21298
14;0;11828253411;11828253411;21578
15;0;11828253411;11828253411;21765
16;0;11828253411;11828253411;20815
17;0;11828253411;11828253411;22333
18;0;11828253411;11828253411;20885
19;0;11828253411;11828253411;21456
20;0;11828253411;11828253411;21207
21;0;11828253411;11828253411;21436
22;0;11828253411;11828253411;21685
23;0;11828253411;11828253411;21054
24;0;11828253411;11828253411;34501
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000
Iteration;RAPL-Value;Old-RAPL;New-RAPL;Ticks
0;0;11828361748;11828361748;139351
1;0;11828361748;11828361748;33651
2;0;11828361748;11828361748;40608
3;0;11828361748;11828361748;37636
4;0;11828361748;11828361748;38759
5;0;11828361748;11828361748;25753
6;0;11828361748;11828361748;25557
7;0;11828361748;11828361748;27310
8;0;11828361748;11828361748;25239
9;0;11828361748;11828361748;55804
10;0;11828361748;11828361748;25142
11;0;11828361748;11828361748;29629
12;0;11828385856;11828385856;30251
13;0;11828385856;11828385856;25123
14;0;11828385856;11828385856;26226
15;0;11828385856;11828385856;24459
16;0;11828385856;11828385856;33772
17;0;11828385856;11828385856;25166
18;0;11828385856;11828385856;26855
19;0;11828385856;11828385856;28478
20;0;11828385856;11828385856;26063
21;0;11828385856;11828385856;26119
22;0;11828385856;11828385856;25402
23;0;11828385856;11828385856;30413
24;0;11828385856;11828385856;27031
Sec per tick: 0.000000001, ms per tick: 0.000001000, ns per tick: 1.000000000
Frequency: 1000000000


